,date,gameid
520,20100922,SKOB2
521,20100923,WOOB0
522,20100923,LGSK0
523,20100924,WOOB0
524,20100924,LGSK0
525,20100924,SSLT0
526,20100925,SSLG0
527,20100925,LTWO0
528,20100925,HHSK0
529,20100926,SSLG0
530,20100926,WOSK0
531,20100926,HTHH0
532,20110402,LGOB0
533,20110402,WOSK0
534,20110402,HHLT0
535,20110402,SSHT0
536,20110403,LGOB0
537,20110403,WOSK0
538,20110403,HHLT0
539,20110403,SSHT0
540,20110405,SKLG0
541,20110405,OBWO0
542,20110405,HTHH0
543,20110405,LTSS0
544,20110406,SKLG0
545,20110406,OBWO0
546,20110406,HTHH0
547,20110406,LTSS0
548,20110408,HTOB0
549,20110408,LTWO0
550,20110408,SSSK0
551,20110408,LGHH0
552,20110409,HTOB0
553,20110409,LTWO0
554,20110409,SSSK0
555,20110409,LGHH0
556,20110410,HTOB0
557,20110410,LTWO0
558,20110410,SSSK0
559,20110410,LGHH0
560,20110412,SSLG0
561,20110412,HHSK0
562,20110412,OBLT0
563,20110412,WOHT0
564,20110413,SSLG0
565,20110413,HHSK0
566,20110413,OBLT0
567,20110413,WOHT0
568,20110414,SSLG0
569,20110414,HHSK0
570,20110414,OBLT0
571,20110414,WOHT0
572,20110415,LTLG0
573,20110415,SKWO0
574,20110415,OBSS0
575,20110415,HHHT0
576,20110416,LTLG0
577,20110416,SKWO0
578,20110416,OBSS0
579,20110416,HHHT0
580,20110417,LTLG0
581,20110417,SKWO0
582,20110417,OBSS0
583,20110417,HHHT0
584,20110419,WOOB0
585,20110419,LGSK0
586,20110419,LTHH0
587,20110419,HTSS0
588,20110420,WOOB0
589,20110420,LGSK0
590,20110420,LTHH0
591,20110420,HTSS0
592,20110421,LGSK0
593,20110421,WOOB0
594,20110421,LTHH0
595,20110421,HTSS0
596,20110422,HTLG0
597,20110422,SSWO0
598,20110423,HTLG0
599,20110423,SSWO0
600,20110423,OBHH0
601,20110423,SKLT0
602,20110424,HTLG0
603,20110424,SSWO0
604,20110424,OBHH0
605,20110424,SKLT0
606,20110426,HHWO0
607,20110426,LGLT0
608,20110427,SSOB0
609,20110427,HHWO0
610,20110427,LGLT0
611,20110427,SKHT0
612,20110428,SSOB0
613,20110428,HHWO0
614,20110428,LGLT0
615,20110428,SKHT0
616,20110429,WOLG0
617,20110429,OBSK0
618,20110429,HHSS0
619,20110429,LTHT0
620,20110430,HHSS0
621,20110430,LTHT0
622,20110501,WOLG0
623,20110501,OBSK0
624,20110501,HHSS0
625,20110501,LTHT0
626,20110503,LGOB0
627,20110503,HTWO0
628,20110503,SKHH0
629,20110503,SSLT0
630,20110504,LGOB0
631,20110504,HTWO0
632,20110504,SKHH0
633,20110504,SSLT0
634,20110505,HTWO0
635,20110505,SKHH0
636,20110505,SSLT0
637,20110505,LGOB0
638,20110506,LTOB0
639,20110506,HTSK0
640,20110506,WOHH0
641,20110506,LGSS0
642,20110507,LTOB0
643,20110507,HTSK0
644,20110507,WOHH0
645,20110507,LGSS0
646,20110508,LTOB0
647,20110508,HTSK0
648,20110508,WOHH0
649,20110508,LGSS0
650,20110510,SKSS0
651,20110510,OBHT0
652,20110510,HHLG0
653,20110510,WOLT0
654,20110511,HHLG0
655,20110512,HHLG0
656,20110512,SKSS0
657,20110512,WOLT0
658,20110512,OBHT0
659,20110513,SKOB0
660,20110513,LGWO0
661,20110513,SSHH0
662,20110513,HTLT0
663,20110514,SKOB0
664,20110514,SSHH0
665,20110514,HTLT0
666,20110514,LGWO0
667,20110515,SKOB0
668,20110515,SSHH0
669,20110515,HTLT0
670,20110515,LGWO0
671,20110517,HHOB0
672,20110517,LTSK0
673,20110517,WOSS0
674,20110517,LGHT0
675,20110518,HHOB0
676,20110518,LTSK0
677,20110518,WOSS0
678,20110518,LGHT0
679,20110519,HHOB0
680,20110519,LTSK0
681,20110519,WOSS0
682,20110519,LGHT0
683,20110520,OBSS0
684,20110520,HHHT0
685,20110521,LTLG0
686,20110521,OBSS0
687,20110521,HHHT0
688,20110522,LTLG0
689,20110522,WOSK0
690,20110522,OBSS0
691,20110522,HHHT0
692,20110524,OBLG0
693,20110524,HTWO0
694,20110524,SKHH0
695,20110524,SSLT0
696,20110525,OBLG0
697,20110525,HTWO0
698,20110525,SKHH0
699,20110525,SSLT0
700,20110526,OBLG0
701,20110526,HTWO0
702,20110526,SKHH0
703,20110527,HHOB0
704,20110527,LGWO0
705,20110527,SKSS0
706,20110527,LTHT0
707,20110528,HHOB0
708,20110528,SKSS0
709,20110528,LTHT0
710,20110528,LGWO0
711,20110529,HHOB0
712,20110529,SKSS0
713,20110529,LTHT0
714,20110529,LGWO0
715,20110531,HTLG0
716,20110531,OBSK0
717,20110531,SSHH0
718,20110531,WOLT0
719,20110601,HTLG0
720,20110601,OBSK0
721,20110601,SSHH0
722,20110601,WOLT0
723,20110602,HTLG0
724,20110602,OBSK0
725,20110602,SSHH0
726,20110602,WOLT0
727,20110603,SSOB0
728,20110603,HTSK0
729,20110603,WOHH0
730,20110603,LGLT0
731,20110604,LGLT0
732,20110604,SSOB0
733,20110604,HTSK0
734,20110604,WOHH0
735,20110605,SSOB0
736,20110605,HTSK0
737,20110605,WOHH0
738,20110605,LGLT0
739,20110607,HHLG0
740,20110607,SKWO0
741,20110607,LTSS0
742,20110607,OBHT0
743,20110608,HHLG0
744,20110608,SKWO0
745,20110608,LTSS0
746,20110608,OBHT0
747,20110609,HHLG0
748,20110609,SKWO0
749,20110609,LTSS0
750,20110609,OBHT0
751,20110610,SKOB0
752,20110610,SSWO0
753,20110610,HHLT0
754,20110610,LGHT0
755,20110611,SKOB0
756,20110611,SSWO0
757,20110611,HHLT0
758,20110611,LGHT0
759,20110612,SKOB0
760,20110612,SSWO0
761,20110612,HHLT0
762,20110612,LGHT0
763,20110614,WOOB0
764,20110614,LTSK0
765,20110614,HTHH0
766,20110614,LGSS0
767,20110615,WOOB0
768,20110615,LTSK0
769,20110615,HTHH0
770,20110615,LGSS0
771,20110616,WOOB0
772,20110616,LTSK0
773,20110616,HTHH0
774,20110616,LGSS0
775,20110617,SKLG0
776,20110617,LTWO0
777,20110617,OBHH0
778,20110617,SSHT0
779,20110618,SKLG0
780,20110618,LTWO0
781,20110618,OBHH0
782,20110618,SSHT0
783,20110619,SKLG0
784,20110619,LTWO0
785,20110619,OBHH0
786,20110619,SSHT0
787,20110621,WOLG0
788,20110621,HHSS0
789,20110621,OBLT0
790,20110621,SKHT0
791,20110622,HHSS0
792,20110623,HHSS0
793,20110623,OBLT0
794,20110623,SKHT0
795,20110624,WOSS0
796,20110628,SSLG0
797,20110628,OBWO0
798,20110628,HHSK0
799,20110628,HTLT0
800,20110629,HTLT0
801,20110630,HHSK0
802,20110630,HTLT0
803,20110701,OBLG0
804,20110701,SKWO0
805,20110701,LTSS0
806,20110701,HHHT0
807,20110702,OBLG0
808,20110702,SKWO0
809,20110702,LTSS0
810,20110702,HHHT0
811,20110703,HHHT0
812,20110705,LTOB0
813,20110705,SSSK0
814,20110705,LGHH0
815,20110705,WOHT0
816,20110706,LTOB0
817,20110706,SSSK0
818,20110706,LGHH0
819,20110706,WOHT0
820,20110707,LGHH0
821,20110707,WOHT0
822,20110708,HTLG0
823,20110708,LTSK0
824,20110708,OBSS0
825,20110709,HTLG0
826,20110709,LTSK0
827,20110709,WOHH0
828,20110710,HTLG0
829,20110712,SKLG0
830,20110712,SSWO0
831,20110712,HHLT0
832,20110713,OBHT0
833,20110714,HHLT0
834,20110714,OBHT0
835,20110715,HTSS0
836,20110715,LGLT0
837,20110716,HTSS0
838,20110716,LGLT0
839,20110717,WOOB0
840,20110717,HHSK0
841,20110717,HTSS0
842,20110717,LGLT0
843,20110719,LTOB0
844,20110719,LGWO0
845,20110719,HTHH0
846,20110719,SKSS0
847,20110720,LTOB0
848,20110720,LGWO0
849,20110720,HTHH0
850,20110720,SKSS0
851,20110721,LTOB0
852,20110721,LGWO0
853,20110721,HTHH0
854,20110721,SKSS0
855,20110726,SKLT0
856,20110726,SSHT0
857,20110727,SSHT0
858,20110728,SKLT0
859,20110728,SSHT0
860,20110729,SSLG0
861,20110729,SKHH0
862,20110729,OBLT0
863,20110729,WOHT0
864,20110730,SSLG0
865,20110730,SKHH0
866,20110730,OBLT0
867,20110730,WOHT0
868,20110731,SKHH0
869,20110731,OBLT0
870,20110731,WOHT0
871,20110802,HTOB0
872,20110802,LGSK0
873,20110802,LTHH0
874,20110802,WOSS0
875,20110803,HTOB0
876,20110803,LGSK0
877,20110803,WOSS0
878,20110804,HTOB0
879,20110804,LGSK0
880,20110804,LTHH0
881,20110804,WOSS0
882,20110805,HHLG0
883,20110805,OBWO0
884,20110805,HTSK0
885,20110805,SSLT0
886,20110806,HHLG0
887,20110806,OBWO0
888,20110806,HTSK0
889,20110806,SSLT0
890,20110807,HHLG0
891,20110807,OBWO0
892,20110807,HTSK0
893,20110807,SSLT0
894,20110809,SKOB0
895,20110809,WOLT0
896,20110809,LGHT0
897,20110810,SKOB0
898,20110810,HHSS0
899,20110810,WOLT0
900,20110810,LGHT0
901,20110811,SKOB0
902,20110811,HHSS0
903,20110811,WOLT0
904,20110811,LGHT0
905,20110812,HTSS0
