"선수명","ID","season_2010","season_2011","season_2012","season_2013","season_2014","season_2015","season_2016","season_2017","season_2018","season_2019","season_2010_tf","season_2011_tf","season_2012_tf","season_2013_tf","season_2014_tf","season_2015_tf","season_2016_tf","season_2017_tf","season_2018_tf","season_2019_tf"
"장지훈",67443,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","삼성","삼성","삼성","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"장진용",74139,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","LG","LG","LG","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"장진혁",66706,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","한화","한화","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"장태성",79642,"기아","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"장필준",77927,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","삼성","삼성","삼성","삼성","삼성","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"장현식",63950,"소속팀없음","소속팀없음","소속팀없음","NC","소속팀없음","NC","NC","NC","NC","NC","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"저마노",61434,"소속팀없음","삼성","소속팀없음","소속팀없음","소속팀없음","KT","소속팀없음","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"전근표",70364,"한화","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"전민수",78361,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","KT","KT","KT","LG","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"전민재",68205,"소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","소속팀없음","두산","두산","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
"전병두",73228,"SK","SK","소속팀없음","소속팀없음","소속팀없음","소속팀없음","SK","소속팀없음","소속팀없음","소속팀없음","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer","no_transfer"
